"","age","levels","gender","place"
"202",24,"Інтерн",1,"Не вказано"
"203",52,"Лікар-спеціаліст",1,"м. Львів"
"204",50,"Лікар-спеціаліст",1,"м. Львів"
"205",55,"Лікар-спеціаліст",2,"Львівська область"
"206",60,"Лікар-спеціаліст",2,"Не вказано"
"207",33,"Лікар-спеціаліст",1,"м. Львів"
"208",59,"Лікар-спеціаліст",1,"Львівська область"
"209",61,"Лікар-спеціаліст",2,"Львівська область"
"210",25,"Інтерн",1,"м. Львів"
"211",25,"Інтерн",1,"Не вказано"
"212",25,"Інтерн",1,"м. Львів"
"213",28,"Інтерн",1,"Не вказано"
"214",25,"Інтерн",1,"Інші нас. пункти"
"215",25,"Інтерн",1,"Не вказано"
"216",24,"Інтерн",1,"Інші нас. пункти"
"217",25,"Інтерн",1,"Інші нас. пункти"
"218",24,"Інтерн",1,"Інші нас. пункти"
"219",24,"Інтерн",1,"м. Львів"
"220",24,"Інтерн",1,"Не вказано"
"221",26,"Інтерн",1,"м. Львів"
"222",24,"Інтерн",1,"м. Львів"
"223",25,"Інтерн",1,"м. Львів"
"224",25,"Інтерн",1,"Не вказано"
"225",25,"Інтерн",1,"м. Львів"
"226",25,"Інтерн",1,"Не вказано"
"227",25,"Інтерн",1,"Не вказано"
"228",24,"Інтерн",2,"Не вказано"
"229",25,"Інтерн",1,"Не вказано"
"230",23,"Інтерн",2,"Інші нас. пункти"
"231",24,"Інтерн",2,"Інші нас. пункти"
"232",25,"Інтерн",1,"Не вказано"
"233",25,"Інтерн",1,"м. Львів"
"234",25,"Інтерн",1,"Не вказано"
"235",25,"Інтерн",1,"Не вказано"
"236",25,"Інтерн",1,"м. Львів"
"237",47,"Лікар-спеціаліст",1,"Не вказано"
"238",29,"Інтерн",1,"м. Львів"
"239",24,"Інтерн",1,"м. Львів"
"240",24,"Інтерн",1,"м. Львів"
"241",24,"Інтерн",1,"м. Львів"
"242",25,"Інтерн",1,"м. Львів"
"243",24,"Інтерн",2,"м. Львів"
"244",25,"Інтерн",2,"Інші нас. пункти"
"245",24,"Інтерн",1,"м. Львів"
"246",23,"Інтерн",1,"м. Львів"
"247",24,"Інтерн",1,"м. Львів"
"248",24,"Інтерн",1,"Інші нас. пункти"
"249",23,"Інтерн",1,"м. Львів"
"250",24,"Інтерн",1,"м. Львів"
"251",26,"Інтерн",1,"Інші нас. пункти"
"252",25,"Інтерн",1,"м. Львів"
"253",25,"Інтерн",1,"Львівська область"
"254",27,"Інтерн",1,"Не вказано"
"255",25,"Інтерн",1,"м. Львів"
"256",25,"Інтерн",1,"м. Львів"
"257",25,"Інтерн",1,"м. Львів"
"258",40,"Лікар-спеціаліст",1,"м. Львів"
"259",47,"Лікар-спеціаліст",2,"м. Львів"
"260",31,"Лікар-спеціаліст",2,"м. Львів"
"261",36,"Лікар-спеціаліст",2,"м. Львів"
"262",54,"Лікар-спеціаліст",2,"м. Львів"
"263",46,"Лікар-спеціаліст",2,"м. Львів"
"264",34,"Лікар-спеціаліст",2,"м. Львів"
"265",45,"Лікар-спеціаліст",1,"Інші нас. пункти"
"266",51,"Лікар-спеціаліст",2,"м. Львів"
"267",45,"Лікар-спеціаліст",2,"м. Львів"
"268",31,"Лікар-спеціаліст",2,"Не вказано"
"269",38,"Лікар-спеціаліст",2,"м. Львів"
"270",67,"Лікар-спеціаліст",2,"м. Львів"
"271",50,"Лікар-спеціаліст",1,"м. Львів"
"272",46,"Лікар-спеціаліст",2,"Львівська область"
"273",73,"Лікар-спеціаліст",2,"Не вказано"
"274",67,"Лікар-спеціаліст",1,"м. Львів"
"275",60,"Лікар-спеціаліст",1,"м. Львів"
"276",50,"Лікар-спеціаліст",1,"м. Львів"
"277",36,"Лікар-спеціаліст",1,"м. Львів"
"278",26,"Лікар-спеціаліст",2,"м. Львів"
"279",54,"Лікар-спеціаліст",2,"м. Львів"
"280",29,"Лікар-спеціаліст",1,"Не вказано"
"281",33,"Лікар-спеціаліст",1,"м. Львів"
"282",65,"Лікар-спеціаліст",2,"м. Львів"
"283",55,"Лікар-спеціаліст",1,"м. Львів"
"284",49,"Лікар-спеціаліст",1,"м. Львів"
"285",58,"Лікар-спеціаліст",2,"м. Львів"
"286",35,"Лікар-спеціаліст",2,"м. Львів"
"287",70,"Лікар-спеціаліст",2,"м. Львів"
"288",37,"Лікар-спеціаліст",1,"м. Львів"
"289",42,"Лікар-спеціаліст",1,"м. Львів"
"290",32,"Лікар-спеціаліст",2,"м. Львів"
"291",30,"Лікар-спеціаліст",2,"м. Львів"
"292",39,"Лікар-спеціаліст",1,"Інші нас. пункти"
"293",46,"Лікар-спеціаліст",2,"м. Львів"
"294",32,"Лікар-спеціаліст",1,"м. Львів"
"295",27,"Лікар-спеціаліст",1,"м. Львів"
"296",36,"Лікар-спеціаліст",1,"м. Львів"
"297",32,"Лікар-спеціаліст",1,"м. Львів"
"298",55,"Лікар-спеціаліст",2,"м. Львів"
"299",27,"Лікар-спеціаліст",2,"м. Львів"
"300",47,"Лікар-спеціаліст",2,"м. Львів"
"301",47,"Лікар-спеціаліст",2,"м. Львів"
"302",35,"Лікар-спеціаліст",2,"м. Львів"
"303",67,"Лікар-спеціаліст",2,"м. Львів"
"304",56,"Лікар-спеціаліст",2,"м. Львів"
"305",55,"Лікар-спеціаліст",2,"м. Львів"
"306",32,"Лікар-спеціаліст",2,"Не вказано"
"307",33,"Лікар-спеціаліст",2,"Не вказано"
"308",34,"Лікар-спеціаліст",2,"м. Львів"
"309",34,"Лікар-спеціаліст",2,"м. Львів"
"310",48,"Лікар-спеціаліст",2,"м. Львів"
"311",25,"Лікар-спеціаліст",2,"м. Львів"
"312",31,"Лікар-спеціаліст",2,"м. Львів"
"313",41,"Лікар-спеціаліст",1,"м. Львів"
"314",29,"Лікар-спеціаліст",2,"м. Львів"
"315",32,"Лікар-спеціаліст",2,"м. Львів"
"316",30,"Лікар-спеціаліст",1,"м. Львів"
"317",28,"Лікар-спеціаліст",2,"м. Львів"
"318",31,"Лікар-спеціаліст",1,"м. Львів"
"319",67,"Лікар-спеціаліст",1,"м. Львів"
"320",46,"Лікар-спеціаліст",2,"м. Львів"
"321",49,"Лікар-спеціаліст",1,"м. Львів"
"322",57,"Лікар-спеціаліст",2,"м. Львів"
"323",67,"Лікар-спеціаліст",2,"м. Львів"
"324",60,"Лікар-спеціаліст",2,"м. Львів"
"325",65,"Лікар-спеціаліст",1,"м. Львів"
"326",36,"Лікар-спеціаліст",2,"м. Львів"
"327",29,"Лікар-спеціаліст",1,"м. Львів"
"328",28,"Інтерн",1,"м. Львів"
"329",24,"Інтерн",2,"м. Львів"
"330",25,"Інтерн",1,"м. Львів"
"331",25,"Інтерн",1,"м. Львів"
"332",25,"Інтерн",1,"м. Львів"
"333",24,"Інтерн",1,"м. Львів"
"334",25,"Інтерн",2,"м. Львів"
"335",24,"Інтерн",1,"м. Львів"
"336",24,"Інтерн",1,"Не вказано"
"337",24,"Інтерн",1,"м. Львів"
"338",25,"Інтерн",1,"Інші нас. пункти"
"339",25,"Інтерн",2,"м. Львів"
"340",24,"Інтерн",1,"м. Львів"
"341",24,"Інтерн",1,"м. Львів"
"342",25,"Інтерн",2,"м. Львів"
"343",24,"Інтерн",1,"м. Львів"
"344",28,"Лікар-спеціаліст",1,"м. Львів"
"345",23,"Інтерн",2,"Львівська область"
"346",22,"Інтерн",1,"Львівська область"
"347",29,"Інтерн",1,"Не вказано"
"348",22,"Інтерн",2,"Львівська область"
"349",22,"Інтерн",1,"Львівська область"
"350",23,"Інтерн",2,"Не вказано"
"351",22,"Інтерн",1,"м. Львів"
"352",23,"Інтерн",1,"Не вказано"
"353",22,"Інтерн",2,"Не вказано"
"354",25,"Інтерн",1,"Не вказано"
"355",23,"Інтерн",1,"Не вказано"
"356",21,"Інтерн",1,"Львівська область"
"357",22,"Інтерн",1,"Львівська область"
"358",22,"Інтерн",1,"Львівська область"
"359",22,"Інтерн",1,"Інші нас. пункти"
"360",22,"Інтерн",1,"Львівська область"
"361",23,"Інтерн",2,"Не вказано"
"362",23,"Інтерн",1,"Не вказано"
"363",22,"Інтерн",2,"м. Львів"
"364",23,"Інтерн",1,"м. Львів"
"365",22,"Інтерн",1,"Львівська область"
"366",21,"Інтерн",1,"Не вказано"
"367",22,"Інтерн",1,"Не вказано"
"368",22,"Інтерн",2,"Не вказано"
"369",22,"Інтерн",2,"Не вказано"
"370",21,"Інтерн",1,"Не вказано"
"371",23,"Інтерн",1,"Не вказано"
"372",22,"Інтерн",1,"Не вказано"
"373",23,"Інтерн",2,"м. Львів"
"374",22,"Інтерн",2,"м. Львів"
"375",21,"Інтерн",2,"м. Львів"
"376",22,"Інтерн",1,"Не вказано"
"377",22,"Інтерн",1,"Львівська область"
"378",22,"Інтерн",1,"Львівська область"
"379",22,"Інтерн",2,"Львівська область"
"380",23,"Інтерн",1,"Не вказано"
"381",22,"Інтерн",1,"Не вказано"
"382",22,"Інтерн",2,"Не вказано"
"383",23,"Інтерн",2,"Львівська область"
"384",22,"Інтерн",2,"Не вказано"
"385",23,"Інтерн",1,"м. Львів"
"386",22,"Інтерн",2,"м. Львів"
"387",22,"Інтерн",1,"м. Львів"
"388",22,"Інтерн",1,"Не вказано"
"389",22,"Інтерн",1,"Інші нас. пункти"
"390",22,"Інтерн",2,"м. Львів"
"391",25,"Інтерн",2,"м. Львів"
"392",22,"Інтерн",1,"Інші нас. пункти"
"393",54,"Лікар-спеціаліст",1,"м. Львів"
"394",22,"Інтерн",1,"Не вказано"
"395",22,"Інтерн",1,"Не вказано"
"396",23,"Інтерн",1,"Не вказано"
"397",22,"Інтерн",1,"Не вказано"
"398",22,"Інтерн",1,"Не вказано"
"399",24,"Інтерн",2,"Львівська область"
"400",22,"Інтерн",2,"Не вказано"
"401",24,"Інтерн",2,"м. Львів"
"402",29,"Інтерн",1,"Не вказано"
"403",22,"Інтерн",1,"м. Львів"
"404",22,"Інтерн",1,"Не вказано"
"405",22,"Інтерн",1,"Львівська область"
"406",25,"Інтерн",2,"м. Львів"
"407",22,"Інтерн",2,"Не вказано"
"408",23,"Інтерн",1,"м. Львів"
"409",22,"Інтерн",2,"м. Львів"
"410",22,"Інтерн",2,"м. Львів"
"411",24,"Інтерн",2,"Інші нас. пункти"
"412",22,"Інтерн",2,"Інші нас. пункти"
"413",23,"Інтерн",2,"Львівська область"
"414",22,"Інтерн",1,"м. Львів"
"415",21,"Інтерн",2,"Не вказано"
"416",22,"Інтерн",1,"м. Львів"
"417",23,"Інтерн",1,"Інші нас. пункти"
